amfi_code,scheme_name,fund_house,latest_nav,nav_date,change_1d_abs,change_1d_pct,nav_7d_ago,nav_30d_ago,total_records,data_source
125497,HDFC Top 100 Direct Plan Growth,HDFC Mutual Fund,192.3195,2026-06-01,-1.3641,-0.7043,193.5599,193.4131,3091,live
119551,SBI Bluechip Direct Plan Growth,SBI Mutual Fund,104.7025,2026-06-01,0.0455,0.0435,104.5215,104.5706,3236,live
120503,ICICI Pru Bluechip Direct Plan Growth,ICICI Prudential Mutual Fund,103.0948,2026-06-01,-1.2135,-1.1634,105.9217,105.2845,3307,live
118632,Nippon India Large Cap Direct Growth,Nippon India Mutual Fund,97.1944,2026-06-01,-1.2712,-1.291,99.8047,99.5502,3298,live
119092,Axis Bluechip Direct Plan Growth,Axis Mutual Fund,6156.7532,2026-06-01,5.6393,0.0917,6144.8478,6140.1614,3565,live
120841,Kotak Bluechip Direct Plan Growth,Kotak Mahindra Mutual Fund,246.9814,2026-06-01,-1.6859,-0.678,249.2266,240.5353,3301,live
